Header_Length,Protocol Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Magnitue,Radius,Covariance,Variance,Weight
866.6,10.4,64,45722.39022,45722.39022,0,0,0,0,0.3,0.6,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0.6,0.4,0,0,0,0,1,1,1158.8,70.5,450.6,161.8299206,150.6810761,431.8,169402615.8,5.5,16.96364492,213.0952215,66236.07648,0.9,38.5
3934.3,12.6,131.2,35708.79948,35708.79948,0,0,0,0,0.3,0.4,0,0,0,0,0,1,0,0.4,0,0,0,0,0,0.4,0.6,0,0,0,0,1,1,7295.8,66,1242,475.7062068,500.702909,406.3,169402615.8,13.5,30.88537076,708.9196198,251721.1268,1,244.6
5592.8,12.6,97.6,66.40350614,66.40350614,0,0,0,0,0.3,0.4,0,0,0,0,0,2.6,0,0.4,0,0,0,0,0,0.4,0.6,0,0,0,0,1,1,1653,112.1,723.3,249.3036508,205.5520346,386.6,0.013611102,5.5,21.78709463,290.6944752,84028.64753,0.9,38.5
9303.6,14.8,80.8,51.20127978,51.20127978,0,0,0,0,0.1,0.2,0,0,0,0,0,1.9,0,0.2,0,0,0,0,0,0.2,0.8,0,0,0,0,1,1,5604.6,66,1514,361.9525625,421.6836604,300.2,169402615.9,13.5,26.95450633,597.0460047,178453.0017,1,244.6
8592.4,12.6,98.6,42.70645494,42.70645494,0,0,0,0,0.2,0.4,0,0,0,0,0,2.6,0,0.4,0,0,0,0,0,0.4,0.6,0,0,0,0,1,1,1319.1,136.8,834,314.4749206,265.3942389,209.2,0.013930988,5.5,24.25514784,375.324132,80115.11073,0.9,38.5
12734.7,14.8,76.8,42.89171988,42.89171988,0,0,0,0,0.2,0.2,0,0,0,0,0,0.7,0,0.2,0,0,0,0,0,0.2,0.8,0,0,0,0,1,1,4174.5,54,920.4,267.9168746,300.5708711,309.8,169402615.9,13.5,23.15041573,425.8446809,91240.16137,1,244.6
11107.5,12.6,69.9,1746.561424,1746.561424,0,0,0,0,0.1,0.4,0,0,0,0,0,0.9,0,0.2,0,0,0,0,0,0.4,0.6,0,0,0,0,1,1,1908.6,139.2,875.6,408.9753968,301.1820803,286.6,0.017684698,5.5,28.18323477,425.9357827,101266.5905,0.9,38.5
223.4,6,64,23763.40087,23763.40087,0,0,0,0,0.5,1,0,0,0,0,0,2.7,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,3320.8,54,938,219.0978021,286.3419102,80.4,169402615.9,13.5,20.92748949,405.6864,82699.42706,1,244.6
16821,15.9,64,39.13557593,39.13557593,0,0,0,0,0,0.1,0,0,0,0,0,0.2,0,0.1,0,0,0,0,0,0.1,0.9,0,0,0,0,1,1,1780.6,66,847.2,320.1484127,319.5651917,296,0.014930797,5.5,24.81398689,451.9334282,114810.181,0.9,38.5
23523.4,17,64,46.17944519,46.17944519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,4475.4,64.4,934,288.6592556,299.0209663,296.8,169402615.9,13.5,24.05521363,423.6962569,89871.6827,1,244.6
